A,B,C,D,E,F,G
0.17,-0.45,-0.59,-1.71,5.75,-1.48,3.75
-1.26,-0.11,0.36,-0.69,-0.44,-3.01,-0.4
-1.26,-0.11,0.36,-0.69,-0.44,-3.01,-0.4
-1.26,-0.11,0.36,-0.69,-0.44,-3.01,-0.4
-0.52,-1.94,-1.43,0.17,-1.33,-3.1,-0.81
1.75,0,-1.33,1.75,4.94,2,2.03
1.37,4.19,2.45,-1.2,-0.29,-0.39,0.4
1.02,5.58,6.09,0.69,3.86,1.57,3.17
-0.56,-0.53,-2.25,0,-0.83,-0.39,0
-0.56,-0.53,-2.25,0,-0.83,-0.39,0
-0.56,-0.53,-2.25,0,-0.83,-0.39,0
-1.57,0.11,0.69,-0.34,-2.36,1.95,1.92
0.8,-2.02,-1.37,1.21,1.99,1.91,-2.26
0.62,3.03,-0.12,1.88,-2.93,0,0.39
-1.01,-2.84,-0.93,-2.85,1.87,0.37,0.77
1.93,3.03,3.4,1.9,-1.27,-0.37,1.91
1.93,3.03,3.4,1.9,-1.27,-0.37,1.91
1.93,3.03,3.4,1.9,-1.27,-0.37,1.91
0.11,-0.53,0.34,1.02,-0.57,-0.75,0
0.95,-0.21,-0.56,-1.34,-1.01,-0.38,-0.37
-0.39,0.95,0,-6.29,1.74,5.68,0.38
0.22,-0.84,0,0,-0.86,-1.79,0
-1.49,-1.06,-1.02,-0.91,2.45,0.73,-0.75
-1.49,-1.06,-1.02,-0.91,2.45,0.73,-0.75
-1.49,-1.06,-1.02,-0.91,2.45,0.73,-0.75
0.9,0.96,0.11,-0.18,-2.53,-0.72,0
0.06,0.63,-0.46,0.55,2.16,0.73,-0.75
-0.61,-3.79,-0.23,-1.09,2.54,-0.36,-2.28
0.78,-1.09,-1.15,-0.92,1.51,1.45,-0.78
0.78,-1.09,-1.15,-0.92,1.51,1.45,-0.78
0.78,-1.09,-1.15,-0.92,1.51,1.45,-0.78
0.78,-1.09,-1.15,-0.92,1.51,1.45,-0.78
0.17,0.11,-0.47,-1.49,3.93,-0.72,-1.18
1.05,2.54,2.58,0.57,0.52,2.53,0.79
-0.88,1.18,1.03,2.07,-3.11,3.87,0
-1.66,-4.04,-3.06,0.37,-0.4,-2.37,-3.15
1.8,0.44,-0.35,0.18,-0.67,-1.04,0.81
1.8,0.44,-0.35,0.18,-0.67,-1.04,0.81
1.8,0.44,-0.35,0.18,-0.67,-1.04,0.81
2.82,-0.99,-0.59,-1.28,3.25,0.7,0.4
0.05,0.11,2,-1.11,-1.7,-2.09,1.2
2.79,0.89,0.23,-1.69,3.87,0,0.79
1.36,0.22,1.73,2.1,1.54,-1.78,0.79
-3.45,-1.32,-0.57,0.19,-1.77,-0.36,-1.56
-3.45,-1.32,-0.57,0.19,-1.77,-0.36,-1.56
-3.45,-1.32,-0.57,0.19,-1.77,-0.36,-1.56
-2.14,1.9,2.96,2.24,-0.64,-0.36,1.19
0.82,1.53,1.55,0.55,1.94,-0.73,2.35
-0.05,0.32,-0.11,0.18,-3.18,-1.47,-0.38
1.46,0,-0.55,-2.17,0.66,0.75,0
-0.75,-0.43,-0.33,0.74,-1.83,-1.11,0.38
-0.75,-0.43,-0.33,0.74,-1.83,-1.11,0.38
-0.75,-0.43,-0.33,0.74,-1.83,-1.11,0.38
2.31,-1.51,-1.43,0.55,2.39,-1.12,-1.53
0.26,-0.66,0.78,-0.73,-0.52,-3.03,-1.17
3.25,1.1,2.66,-1.47,1.96,-1.17,1.57
1.27,0.98,1.94,-0.19,0.38,0,1.16
1.27,0.98,1.94,-0.19,0.38,0,1.16
1.27,0.98,1.94,-0.19,0.38,0,1.16
1.27,0.98,1.94,-0.19,0.38,0,1.16
1.27,0.98,1.94,-0.19,0.38,0,1.16
-1.1,-0.76,-0.42,0.75,-4.08,-0.4,0.38
-0.86,0.44,1.7,-0.19,3.19,1.19,2.29
0.61,-0.11,-0.94,-0.56,1.8,0.78,-1.12
0.25,0.33,0.42,2.25,-0.51,0.39,-0.38
0.25,0.33,0.42,2.25,-0.51,0.39,-0.38
0.25,0.33,0.42,2.25,-0.51,0.39,-0.38
0.25,0.54,0.74,-0.18,0,-0.39,0.38
-1.87,-0.54,0.1,1.65,-1.78,0.39,2.64
-1.08,-0.32,-1.46,0,-0.91,-1.16,0
0,1.3,0.74,0.72,2.35,-0.78,1.47
-0.1,1.82,0.42,-0.54,3.83,1.19,-0.36
-0.1,1.82,0.42,-0.54,3.83,1.19,-0.36
-0.1,1.82,0.42,-0.54,3.83,1.19,-0.36
-1.04,-0.84,0.31,0.36,-0.49,-0.39,0.36
-1,0.32,0.1,0.18,-1.73,0,-0.72
0.37,-1.06,-2.19,-1.97,-0.13,0,0
0.8,0.32,0,-5.12,-1.64,1.18,-1.82
-0.42,0.32,0.75,-0.39,0.38,-0.78,1.12
-0.42,0.32,0.75,-0.39,0.38,-0.78,1.12
-0.42,0.32,0.75,-0.39,0.38,-0.78,1.12
2.11,-1.28,0.11,-0.19,-3.82,-1.17,-1.47
0.72,1.29,0.42,-0.39,1.59,1.58,2.24
0.92,0.32,-0.74,-0.58,-1.83,1.56,-1.09
